id_cliente,probabilidad_compra_lujo,segmento_score,accion_recomendada,sexo,edad,ciudad,nivel_ingreso,total_pedidos,gasto_total_neto,gasto_lujo_neto,gasto_lujo_share,luxury_order_share,recencia_dias,antiguedad_cliente_dias,pedidos_por_mes,ticket_medio_pedido
1727,0.6409332933137097,medio,Retargeting con catálogo premium,M,56.0,CDMX,medio,3,5135.13,4641.1,0.9037940616887986,0.6666666666666666,2,5,3.0,1711.7099999999998
768,0.632745055516587,medio,Retargeting con catálogo premium,M,48.0,Santiago,medio,2,1806.86,1371.29,0.7589353906777504,0.5,21,82,1.0,903.43
450,0.6286781089052582,medio,Retargeting con catálogo premium,M,36.0,Bogotá,bajo,1,108.22,0.0,0.0,0.0,5,5,1.0,108.22
1359,0.6248922402508847,medio,Retargeting con catálogo premium,M,19.0,CDMX,bajo,1,1255.98,1071.79,0.8533495756301851,1.0,3,3,1.0,1255.98
689,0.6235408571905614,medio,Retargeting con catálogo premium,F,54.0,Buenos Aires,bajo,1,246.08,0.0,0.0,0.0,1,1,1.0,246.08
83,0.6210873020249368,medio,Retargeting con catálogo premium,F,20.0,Santiago,bajo,5,4703.7699999999995,3346.35,0.7114187130748315,0.8,0,62,1.6666666666666667,940.7540000000001
1549,0.6210288955255178,medio,Retargeting con catálogo premium,F,25.0,Santiago,alto,1,204.49,0.0,0.0,0.0,8,8,1.0,204.49
1625,0.6176623737803226,medio,Retargeting con catálogo premium,M,50.0,CDMX,bajo,3,3632.29,3048.58,0.839299725517511,0.6666666666666666,2,37,1.5,1210.7633333333333
2263,0.6176283156876445,medio,Retargeting con catálogo premium,M,26.0,CDMX,alto,2,2047.19,1916.51,0.9361661594673675,0.5,0,0,2.0,1023.595
713,0.6134795538830903,medio,Retargeting con catálogo premium,F,38.0,Santiago,medio,1,193.56,0.0,0.0,0.0,41,41,1.0,193.56
1609,0.6127163180946338,medio,Retargeting con catálogo premium,M,66.0,Monterrey,medio,2,752.91,349.71,0.4644778260349843,0.5,3,29,1.0,376.45500000000004
262,0.6119926483574121,medio,Retargeting con catálogo premium,M,19.0,Santiago,medio,1,707.32,0.0,0.0,0.0,21,21,1.0,707.32
2118,0.6118926702483385,medio,Retargeting con catálogo premium,M,25.0,Quito,bajo,8,6252.84,4056.8599999999997,0.6488027840149435,0.75,0,87,2.6666666666666665,781.605
1241,0.608956758493037,medio,Retargeting con catálogo premium,F,59.0,Quito,alto,6,8129.06,6832.49,0.8405018538428797,0.8333333333333334,0,79,3.0,1354.8433333333332
925,0.6065729874265822,medio,Retargeting con catálogo premium,F,60.0,Bogotá,medio,2,1087.38,507.16,0.46640548842171087,0.5,3,3,2.0,543.69
1911,0.6050854877107126,medio,Retargeting con catálogo premium,M,23.0,CDMX,medio,2,5018.37,4021.48,0.8013518333642199,1.0,8,45,1.0,2509.185
438,0.602737550825958,medio,Retargeting con catálogo premium,M,33.0,Quito,medio,1,1228.16,999.47,0.8137946195935383,1.0,29,29,1.0,1228.16
949,0.601674168441536,medio,Retargeting con catálogo premium,M,21.0,Bogotá,medio,1,2606.9900000000002,2193.01,0.8412038404443438,1.0,12,12,1.0,2606.9900000000002
321,0.600900280961516,medio,Retargeting con catálogo premium,M,35.0,Quito,medio,2,1613.3700000000001,1171.15,0.725902923693883,1.0,2,3,2.0,806.685
2120,0.598067983460776,medio,Retargeting con catálogo premium,M,31.0,Bogotá,bajo,3,1155.56,0.0,0.0,0.0,13,43,1.5,385.18666666666667
1290,0.5971840008569986,medio,Retargeting con catálogo premium,F,50.0,Monterrey,medio,1,636.81,0.0,0.0,0.0,20,20,1.0,636.81
546,0.5970648749327048,medio,Retargeting con catálogo premium,M,28.0,Buenos Aires,bajo,1,177.57,0.0,0.0,0.0,3,3,1.0,177.57
508,0.59600763832928,medio,Retargeting con catálogo premium,F,25.0,Bogotá,bajo,3,4416.83,2509.87,0.5682514382486987,0.6666666666666666,0,42,1.5,1472.2766666666666
205,0.5949433695360236,medio,Retargeting con catálogo premium,M,42.0,Lima,bajo,4,4227.650000000001,3251.65,0.7691388833039631,0.75,1,60,2.0,1056.9125000000001
794,0.5944923592537839,medio,Retargeting con catálogo premium,M,21.0,CDMX,medio,2,2108.57,1907.1,0.9044518322844392,0.5,2,68,1.0,1054.285
1283,0.5939435791420267,medio,Retargeting con catálogo premium,F,66.0,Santiago,bajo,1,931.91,644.93,0.692051807577985,1.0,40,40,1.0,931.91
1485,0.5937537709614078,medio,Retargeting con catálogo premium,F,51.0,Lima,medio,3,1921.07,818.02,0.425814780304726,0.3333333333333333,6,68,1.0,640.3566666666667
2367,0.5928068460088998,medio,Retargeting con catálogo premium,M,44.0,Bogotá,medio,4,2511.35,569.41,0.2267346248033926,0.25,3,76,1.3333333333333333,627.8375
1200,0.5916898332859453,medio,Retargeting con catálogo premium,F,37.0,Bogotá,medio,2,2739.4300000000003,1988.64,0.7259320369565931,0.5,1,32,1.0,1369.7150000000001
692,0.591501054604584,medio,Retargeting con catálogo premium,M,29.0,Lima,bajo,2,694.87,0.0,0.0,0.0,11,63,1.0,347.435
2221,0.5896066033810622,medio,Retargeting con catálogo premium,M,36.0,Santiago,bajo,1,207.64,0.0,0.0,0.0,63,63,1.0,207.64
1656,0.5893863043566823,medio,Retargeting con catálogo premium,F,46.0,Quito,medio,2,903.5,627.11,0.6940896513558384,0.5,73,116,1.0,451.75
1550,0.589333406450961,medio,Retargeting con catálogo premium,M,52.0,Bogotá,medio,7,4199.0599999999995,2530.56,0.6026491643367802,0.42857142857142855,1,93,2.3333333333333335,599.8657142857144
1927,0.5883732048419208,medio,Retargeting con catálogo premium,F,30.0,Quito,medio,4,2339.67,1883.8400000000001,0.8051733791517608,0.75,6,98,1.0,584.9175
2068,0.5866707442152578,medio,Retargeting con catálogo premium,F,59.0,Santiago,medio,7,8177.56,5932.96,0.7255171469240214,0.5714285714285714,0,105,2.3333333333333335,1168.222857142857
1414,0.5865014748014656,medio,Retargeting con catálogo premium,M,25.0,Buenos Aires,medio,2,1563.81,934.17,0.5973679666967214,0.5,18,50,1.0,781.905
1323,0.5846685425002367,medio,Retargeting con catálogo premium,F,65.0,Buenos Aires,medio,1,189.62,0.0,0.0,0.0,31,31,1.0,189.62
72,0.5846133309744999,medio,Retargeting con catálogo premium,M,56.0,Monterrey,bajo,2,1726.8799999999999,1511.12,0.8750579079032706,1.0,1,93,1.0,863.4399999999999
1978,0.5843282525290407,medio,Retargeting con catálogo premium,F,36.0,Quito,medio,2,2561.6499999999996,1257.21,0.4907813323443875,0.5,2,5,2.0,1280.825
